Time	x	theta1	theta2
1134.715	0.10454843273676244	-0.02095419426455306	-0.03133187735347928
1134.761	0.10118807097905805	0.025745894818775032	0.011218465650430354
1134.792	0.0993340782851522	0.047206018934631264	0.03266947923227518
1134.825	0.09759596013461547	0.06903464148503997	0.052403616604956134
1134.866	0.09585784198407872	0.08534039709906167	0.0700775802871345
1134.892	0.09446734746364932	0.09923540507522714	0.08534314148460777
1134.926	0.09272922931311259	0.11071315705224632	0.09611019540827405
1134.965	0.09122286024931406	0.11663156224350649	0.10480139277110152
1134.995	0.08971649118551556	0.11976648448158553	0.1072363239829624
1135.021	0.08809424757834794	0.11767640684675038	0.1072363239829624
1135.051	0.08693550214465677	0.11140923388491035	0.102367085041935
1135.072	0.08693550214465677	0.11140923388491035	0.102367085041935
1135.1	0.08589263125433473	0.0999306377942557	0.09437285066710929
1135.129	0.08438626219053622	0.08707631468490586	0.08430171475390999
1135.153	0.08345926584358329	0.06972809822025383	0.06834395879448137
1135.188	0.08264814403999945	0.049283801888900344	0.05067184619092423
1135.219	0.08218464586652299	0.02574589481877495	0.031977329351374276
1135.251	0.08114177497620095	0.0025681447797423476	0.011564382255077558
1135.284	0.08102590043283184	-0.024068031891641636	-0.009535563727483995
1135.331	0.08033065317261714	-0.046911927671022965	-0.030293702031573288
1135.355	0.08033065317261714	-0.07047384664042525	-0.05245034048346684
1135.384	0.07963540591240245	-0.09129594689735643	-0.07116463212178654
1135.406	0.0792877822822951	-0.10832974568709611	-0.08608431046049707
1135.432	0.0792877822822951	-0.10832974568709611	-0.08608431046049707
1135.469	0.07847666047871128	-0.1205158025813975	-0.09893744347840235
1135.5	0.07836078593534217	-0.13062638356195969	-0.10902288879274782
1135.53	0.07754966413175836	-0.13446489042297963	-0.11424380484383694
1135.553	0.07650679324143632	-0.13271987093677823	-0.114591975549983
1135.582	0.07604329506795984	-0.12783596079929532	-0.11250315907063548
1135.611	0.07488454963426869	-0.11738060053426407	-0.10554394378955376
1135.639	0.07384167874394662	-0.10172133158514746	-0.09407228297053222
1135.668	0.07384167874394662	-0.10172133158514746	-0.09407228297053222
1135.695	0.07279880785362458	-0.08400416170036532	-0.07983671843457063
1135.728	0.07198768605004077	-0.06423359249108103	-0.06423085244297672
1135.758	0.07106068970308785	-0.03998749545264884	-0.04552413455184898
1135.782	0.06990194426939668	-0.017148665615514848	-0.02337331372193907
1135.813	0.06827970066222906	0.00983207771228026	0.00014961723978115638
1135.839	0.06735270431527612	0.034743288098559554	0.021596733931546975
1135.868	0.06735270431527612	0.034743288098559554	0.021596733931546975
1135.897	0.06607808433821585	0.05863659119738001	0.043400010297038626
1135.931	0.0649193389045247	0.07874621554958769	0.06487732762983016
1135.953	0.06376059347083352	0.09819264611365605	0.0829132881318484
1135.984	0.06306534621061882	0.11349779103758532	0.09680521449438183
1136.007	0.06225422440703501	0.12359966608523223	0.1075842230654382
1136.033	0.06225422440703501	0.12359966608523223	0.1075842230654382
1136.069	0.061558977146820314	0.13057380734265772	0.11454500795926291
1136.091	0.06121135351671296	0.13162047121713005	0.11698258272358132
1136.113	0.06121135351671296	0.12743467395950506	0.11558959829839119
1136.142	0.060863729886605614	0.12011488161998876	0.10967189360451972
1136.172	0.060863729886605614	0.12011488161998876	0.10967189360451972
1136.199	0.06063198079986738	0.10827730998511785	0.10132399747101765
1136.225	0.06097960442997473	0.09193830072751633	0.08777350005244443
1136.252	0.0614431026034512	0.07180867130235748	0.0711178541173049
1136.28	0.06190660077692766	0.04824488435629232	0.053096368526430085
1136.314	0.06237009895040412	0.02539988752423123	0.03301556002328713
1136.347	0.06306534621061882	-0.00019901131903328503	0.011564382255077558
1136.387	0.06376059347083352	-0.025106028146162997	-0.009881474190345518
1136.408	0.06410821710094086	-0.04898968121076181	-0.030293702031573288
1136.44	0.06410821710094086	-0.04898968121076181	-0.030293702031573288
1136.482	0.06538283707800116	-0.09025397434392905	-0.06804402718105171
1136.503	0.06538283707800116	-0.09025397434392905	-0.06804402718105171
1136.529	0.06630983342495408	-0.10693811565671851	-0.08400141762669039
1136.726	0.06723682977190701	-0.10902563952217696	-0.09580957790240045
1136.756	0.06723682977190701	-0.09442246563897737	-0.08538997169827318
1136.786	0.06665745705506143	-0.07394182701504332	-0.06839072773398454
1136.813	0.06607808433821585	-0.05210671125008434	-0.05071856589384694
1136.84	0.0657304607081085	-0.02683608258276225	-0.02960160336387583
1136.874	0.0657304607081085	-0.02683608258276225	-0.02960160336387583
1136.899	0.06526696253463204	-0.0019284833096269941	-0.008843746183360248
1136.927	0.0649193389045247	0.02193997501602491	0.01225621965730596
1136.962	0.06422409164430998	0.046859741845828536	0.03370773351435952
1136.991	0.06387646801420263	0.07007483916186859	0.0541355443374481
1137.017	0.06387646801420263	0.08881249537278603	0.07146462913698998
1137.05	0.06352884438409528	0.10584210771866107	0.08846798306288972
1137.08	0.06352884438409528	0.11767640684675046	0.09958576341057414
1137.109	0.0636447189274644	0.1270859598620804	0.1082800604908432
1137.137	0.0636447189274644	0.1270859598620804	0.1082800604908432
1137.167	0.06399234255757175	0.13162047121712997	0.112108116597509
1137.195	0.06457171527441735	0.12987611141359678	0.11106394006331743
1137.221	0.06503521344789381	0.1242968026775971	0.10828006049084336
1137.248	0.06584633525147762	0.1141940868078168	0.10028102051096965
1137.277	0.06677333159843055	0.10027827230693336	0.08985707777578711
1137.305	0.06677333159843055	0.10027827230693336	0.08985707777578711
1137.334	0.06758445340201436	0.08256346286734807	0.07632040260793009
1137.359	0.06862732429233641	0.062101847066707516	0.059332323861578176
