Time	x	theta1	theta2
759.4	0.012420322903102299	-0.05471131280527791	-0.05471131280527791
759.42	0.012420322903102299	-0.05471131280527791	-0.05471131280527791
759.447	0.010575720491750484	-0.0491975901499744	-0.0491975901499744
759.468	0.008608144586308542	-0.043317931310189996	-0.043317931310189996
759.496	0.006763542174956699	-0.03780711558643185	-0.03780711558643185
759.521	0.006763542174956699	-0.03780711558643185	-0.03780711558643185
759.55	0.004672992775424656	-0.03156290380686972	-0.03156290380686972
759.575	0.002336496387712328	-0.02458552410577215	-0.02458552410577215
759.597	-0.0001229734940901145	-0.017242200582061232	-0.017242200582061232
759.621	-0.0001229734940901145	-0.017242200582061232	-0.017242200582061232
759.65	-0.0023364963877123	-0.010634015655389706	-0.010634015655389706
759.68	-0.004427045787244316	-0.004393383401332709	-0.004393383401332709
759.708	-0.006763542174956644	0.0025812496811701913	0.0025812496811701913
759.728	-0.008731118080398587	0.008454708452877099	0.008454708452877099
759.763	-0.010821667479930658	0.014695582632934863	0.014695582632934863
759.784	-0.010821667479930658	0.014695582632934863	0.014695582632934863
759.808	-0.01303519037355283	0.021304196236026664	0.021304196236026664
759.836	-0.015002766278994772	0.027179291795972053	0.027179291795972053
759.864	-0.016970342184436743	0.033055325891168254	0.033055325891168254
759.887	-0.016970342184436743	0.033055325891168254	0.033055325891168254
759.912	-0.01942981206623917	0.04040199829539205	0.04040199829539205
759.948	-0.021766308453951486	0.04738335248573709	0.04738335248573709
759.965	-0.0241028048416638	0.05436701865020024	0.05436701865020024
759.996	-0.0264393012293761	0.06135334005965457	0.06135334005965457
760.019	-0.0264393012293761	0.06135334005965457	0.06135334005965457
760.05	-0.02852985062890817	0.06760679161487666	0.06760679161487666
760.076	-0.030620400028440242	0.07386289217850016	0.07386289217850016
760.101	-0.0327109494279723	0.08012189030446207	0.08012189030446207
760.129	-0.0327109494279723	0.08012189030446207	0.08012189030446207
760.161	-0.03664610123885617	0.0919122714310676	0.0919122714310676
760.184	-0.03664610123885617	0.0919122714310676	0.0919122714310676
760.216	-0.03861367714429813	0.0978121670706449	0.0978121670706449
760.247	-0.04058125304974007	0.10371548035967323	0.10371548035967323
760.279	-0.04230288196700176	0.10888384969333798	0.10888384969333798
760.306	-0.0437785638960832	0.11331620058878349	0.11331620058878349
760.33	-0.045254245825164685	0.11775078838881843	0.11775078838881843
760.359	-0.045254245825164685	0.11775078838881843	0.11775078838881843
760.379	-0.04672992775424614	0.12218770382757284	0.12218770382757284
760.411	-0.048328583177417714	0.12699709463011757	0.12699709463011757
760.446	-0.04968129161240903	0.13106888268465525	0.13106888268465525
760.475	-0.05091102655331027	0.1347724039278421	0.1347724039278421
760.501	-0.05189481450603124	0.13773655809761942	0.13773655809761942
760.527	-0.05189481450603124	0.13773655809761942	0.13773655809761942
760.556	-0.0533704964351127	0.1421850824751402	0.1421850824751402
760.578	-0.054108337399653414	0.14441040182574774	0.14441040182574774
760.607	-0.05472320487010404	0.14626538440622058	0.14626538440622058
760.629	-0.05472320487010404	0.14626538440622058	0.14626538440622058
760.659	-0.055584019328734885	0.14886321339229136	0.14886321339229136
760.683	-0.05595293981100523	0.14997687753492164	0.14997687753492164
760.707	-0.05607591330509536	0.15034814049787623	0.15034814049787623
760.733	-0.056198886799185485	0.15071942434299385	0.15071942434299385
760.759	-0.056198886799185485	0.15071942434299385	0.15071942434299385
760.785	-0.0563218602932756	0.1510907291249893	0.1510907291249893
760.809	-0.056198886799185485	0.15071942434299385	0.15071942434299385
760.843	-0.055829966316915114	0.1496056353994423	0.1496056353994423
760.874	-0.055829966316915114	0.1496056353994423	0.1496056353994423
760.904	-0.054846178364194156	0.1466364415509794	0.1466364415509794
760.934	-0.054477257881923785	0.14552333090848085	0.14552333090848085
760.954	-0.054477257881923785	0.14552333090848085	0.14552333090848085
760.982	-0.053247522941022585	0.1418142651305425	0.1418142651305425
761.003	-0.05226373498830161	0.13884842854888935	0.13884842854888935
761.025	-0.05226373498830161	0.13884842854888935	0.13884842854888935
761.049	-0.05127994703558063	0.13588382070893068	0.13588382070893068
761.076	-0.0500502120946794	0.13217974686620293	0.13217974686620293
761.107	-0.048697503659688085	0.12810736946706255	0.12810736946706255
761.143	-0.047713715706967114	0.12514698558342435	0.12514698558342435
761.164	-0.0459920867897054	0.11996894946620204	0.11996894946620204
761.192	-0.0459920867897054	0.11996894946620204	0.11996894946620204
761.216	-0.04463937835471407	0.11590276581582565	0.11590276581582565
761.245	-0.043163696425632614	0.11146912106248984	0.11146912106248984
761.27	-0.04156504100246104	0.10666848484144076	0.10666848484144076
761.294	-0.0402123325674697	0.10260833904634342	0.10260833904634342
761.319	-0.0402123325674697	0.10260833904634342	0.10260833904634342
761.345	-0.038490703650208014	0.09744332566089628	0.09744332566089628
761.37	-0.036769074732946286	0.09228091877878589	0.09228091877878589
761.399	-0.03467852533341423	0.08601558248739699	0.08601558248739699
761.427	-0.03467852533341423	0.08601558248739699	0.08601558248739699
761.452	-0.032956896416152515	0.08085844509379972	0.08085844509379972
761.475	-0.03086634701662047	0.07459908969034199	0.07459908969034199
761.498	-0.02889877111117853	0.06871060980286921	0.06871060980286921
761.519	-0.02889877111117853	0.06871060980286921	0.06871060980286921
761.546	-0.026685248217556357	0.06208891082287765	0.06208891082287765
761.572	-0.024963619300294643	0.05694059936515343	0.05694059936515343
761.595	-0.02287306990076257	0.05069109568912578	0.05069109568912578
761.617	-0.02287306990076257	0.05069109568912578	0.05069109568912578
761.649	-0.02102846748941073	0.04517848078616239	0.04517848078616239
